timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T084620.00-0300,-29.206384,-50.896796,0.98,7,819.50,1.19
20251030T084621.00-0300,-29.206391,-50.896789,0.31,7,820.20,1.19
20251030T084623.00-0300,-29.206408,-50.896770,0.52,7,820.80,1.19
20251030T084624.00-0300,-29.206416,-50.896761,0.52,7,821.50,1.19
20251030T084625.00-0300,-29.206423,-50.896753,0.20,7,822.20,1.19
20251030T084626.00-0300,-29.206425,-50.896756,2.30,7,823.10,1.19
20251030T084627.00-0300,-29.206429,-50.896753,1.11,7,824.60,1.19
20251030T084628.00-0300,-29.206435,-50.896751,0.56,7,825.00,1.19
20251030T084629.00-0300,-29.206438,-50.896749,0.24,7,825.20,2.44
20251030T084630.00-0300,-29.206441,-50.896747,0.24,6,825.30,2.44
20251030T084631.00-0300,-29.206442,-50.896746,0.22,7,825.30,1.19
